Timestamp,Reading,Inserting,Updating,Deleting,1 Simul. Reader,50 Simul. Reader,100 Simul. Reader,1 Simul. Task,50 Simul. Task,100 Simul. Task,1 Simul. Transaction,50 Simul. Transaction,100 Simul. Transaction
27.2939,8.94e-05,7.46e-05,0.0001276,4.18e-05,5.02e-05,0.003139,0.007332,7.36e-05,0.0048458,0.0081458,0.000738,0.0379604,0.088688
28.1824,6.96e-05,7.16e-05,0.000112,5.66e-05,4.58e-05,0.0032142,0.0070524,7.36e-05,0.0026206,0.0048716,0.0008118,0.0442042,0.114089
28.833,0.0003204,0.0001366,0.000216,6.5e-05,5.86e-05,0.0063292,0.0071596,6.04e-05,0.0027778,0.0050846,0.001369,0.0357752,0.0703354
29.7353,8e-05,6.34e-05,0.000112,4.54e-05,4.66e-05,0.003345,0.00666,6.12e-05,0.0028806,0.0054924,0.0007278,0.0402012,0.120342
30.5922,0.0001112,7.8e-05,0.000134,6e-05,5.9e-05,0.003919,0.0073436,5.94e-05,0.0033998,0.0056162,0.0012552,0.0455694,0.103401
31.5124,8.42e-05,6.9e-05,0.0001072,4.48e-05,4.52e-05,0.0060792,0.0108294,5.92e-05,0.0049634,0.0083944,0.0013748,0.0545284,0.0970238
32.3538,7.36e-05,5.1e-05,0.0006082,5.9e-05,4.84e-05,0.0054662,0.0104028,9.54e-05,0.0035306,0.0071858,0.00103,0.0455244,0.093816
33.162,7.84e-05,6.68e-05,0.000115,5.06e-05,5.46e-05,0.0050876,0.0103918,8.06e-05,0.0036408,0.007983,0.0010436,0.044859,0.08781
34.021,8.32e-05,9.2e-05,0.0001376,5.28e-05,4.5e-05,0.004715,0.0113392,0.0005414,0.0037784,0.007208,0.001,0.0487258,0.0936482
34.8761,6.56e-05,7.06e-05,0.0001082,4.98e-05,5.48e-05,0.00543,0.0097116,6.84e-05,0.0036874,0.0068796,0.0010436,0.0441736,0.0993002
35.7415,8.36e-05,6.26e-05,0.0001112,6.16e-05,6.22e-05,0.0054026,0.0118236,8.56e-05,0.0035196,0.007054,0.0008992,0.0435162,0.100026
36.5892,6.92e-05,6.3e-05,0.0001126,4.46e-05,4.8e-05,0.003228,0.0066264,7.26e-05,0.0034828,0.0066538,0.0010622,0.0472892,0.100419
37.4156,0.0001058,9.62e-05,0.0001732,0.000112,0.0001018,0.0057388,0.010758,6.9e-05,0.0042462,0.0081192,0.0010566,0.0489542,0.0852598
38.3827,7.46e-05,5.9e-05,0.000113,4.18e-05,0.000466,0.0042234,0.0116552,9.92e-05,0.0044746,0.0142488,0.0017568,0.0586474,0.0970818
39.3517,9.62e-05,7.1e-05,0.0001174,4.76e-05,5.42e-05,0.0061964,0.0115436,6.82e-05,0.0051222,0.00832,0.0010758,0.0462014,0.114494
40.2402,8.58e-05,5.94e-05,0.0001212,5.24e-05,4.62e-05,0.0059484,0.0109784,8.38e-05,0.0042202,0.007466,0.0010142,0.0479082,0.0993248
41.1145,8.1e-05,6.56e-05,0.0001176,4.44e-05,4.88e-05,0.005343,0.0140312,6.88e-05,0.0047022,0.00761,0.0010466,0.047936,0.0933256
42.0342,0.0001,7.92e-05,0.000116,4.5e-05,4.62e-05,0.0065462,0.0121938,8.6e-05,0.0037392,0.0074176,0.0011272,0.056106,0.0959122
42.9103,9.6e-05,8.76e-05,0.0001048,4.04e-05,5.3e-05,0.0056362,0.0095618,6.14e-05,0.0038644,0.0075478,0.0010318,0.0435448,0.103186
43.775,9.32e-05,7.64e-05,0.0001196,4.8e-05,5.24e-05,0.0065362,0.0124712,9.3e-05,0.0038122,0.008125,0.0011986,0.0508482,0.0890118
44.6204,9.28e-05,6.8e-05,0.0001302,4.82e-05,5.52e-05,0.0049584,0.0094482,7.04e-05,0.0038644,0.0074952,0.001034,0.0442946,0.0971122
45.4569,6.84e-05,5.76e-05,0.000111,4.06e-05,5.32e-05,0.0056104,0.011329,6.62e-05,0.0041582,0.0077902,0.0011876,0.0441898,0.0922688
46.3192,0.0001434,9.66e-05,0.0001226,5.3e-05,7.48e-05,0.0052024,0.011943,8.28e-05,0.0068538,0.0085672,0.0010592,0.0451182,0.0926676
47.2055,8.32e-05,6.18e-05,0.0001028,4.1e-05,5.16e-05,0.006326,0.0102152,6.58e-05,0.0039294,0.007662,0.0010728,0.0482454,0.0989762
48.0852,9.28e-05,8.42e-05,0.0001184,4.7e-05,5e-05,0.0062082,0.0113706,9.44e-05,0.003754,0.0081134,0.00105,0.0450624,0.099498
48.901,0.000121,8.86e-05,0.0001246,4.86e-05,5.14e-05,0.0053032,0.0103512,0.0001352,0.0037894,0.0082224,0.0010264,0.0445156,0.0889614
49.7948,8.26e-05,6.34e-05,0.000113,4.44e-05,5.82e-05,0.0062732,0.0117566,0.000106,0.0053758,0.012278,0.0013132,0.046473,0.0943194
50.662,7.1e-05,6.76e-05,0.0001164,4.88e-05,4.88e-05,0.0053064,0.0107054,0.0001018,0.0037148,0.0067212,0.0010424,0.050218,0.094817
51.5119,8.52e-05,7.58e-05,0.0001278,4.74e-05,4.48e-05,0.0052524,0.0109144,9.66e-05,0.0037204,0.0079168,0.001031,0.0425808,0.0977128
52.3722,0.0001214,7.1e-05,0.0001424,6.2e-05,5.18e-05,0.007081,0.0114772,7.9e-05,0.0036986,0.0074636,0.0011102,0.0451492,0.0951234
53.2546,8.48e-05,7.4e-05,0.000132,4.44e-05,4.72e-05,0.0035194,0.0072738,6.36e-05,0.0036442,0.0055358,0.0008868,0.0537566,0.10102
54.3078,0.0001016,8e-05,0.0001364,5.82e-05,5.98e-05,0.0050822,0.0108246,0.0001002,0.0036732,0.00716,0.0011224,0.0467868,0.135023
54.9332,8.44e-05,7.06e-05,0.0001338,4.28e-05,4.56e-05,0.0032006,0.0064774,6.62e-05,0.002966,0.0050996,0.0007156,0.0382544,0.0675726
55.8266,8.4e-05,6.6e-05,0.000106,4.36e-05,4.96e-05,0.0037096,0.006576,6.54e-05,0.0027456,0.0052054,0.000687,0.0433212,0.115643
56.538,0.0001096,7.34e-05,0.000119,5.36e-05,5.24e-05,0.0055462,0.0130928,9.66e-05,0.0037388,0.0081344,0.0008614,0.0424046,0.0675366
57.281,7.84e-05,6.68e-05,0.0001246,5.2e-05,5.54e-05,0.00321,0.006267,7.36e-05,0.0027182,0.005043,0.0007344,0.03652,0.0932802
57.9311,0.0001082,7.96e-05,0.0001278,5.06e-05,5.6e-05,0.0060662,0.01083,7.64e-05,0.0030402,0.0049138,0.0007212,0.0364354,0.0671124
58.6774,7.18e-05,6.98e-05,0.0001266,5.72e-05,4.66e-05,0.0030816,0.0063686,6.94e-05,0.0028056,0.0056628,0.0007616,0.0441502,0.085633
59.3591,8.16e-05,7.42e-05,0.0001294,5.12e-05,4.78e-05,0.0031794,0.0062236,7.08e-05,0.0027094,0.0049702,0.0007466,0.0379838,0.0796562
59.9786,6.7e-05,7.9e-05,0.000132,6.04e-05,7.64e-05,0.0048294,0.0064552,7.04e-05,0.0028242,0.0051444,0.0008062,0.0353936,0.0675622
60.8011,7.62e-05,6.6e-05,0.0001062,4.4e-05,5.1e-05,0.003245,0.0063408,6.34e-05,0.002767,0.0052608,0.0007526,0.034982,0.110397
61.4353,9.34e-05,7.76e-05,0.0001192,5.82e-05,5.18e-05,0.0032738,0.0062222,8.64e-05,0.0026006,0.004838,0.0006916,0.0406468,0.0677452
62.1897,9.1e-05,6.92e-05,0.000125,4.66e-05,4.84e-05,0.0031052,0.0067586,7.58e-05,0.002471,0.0121014,0.0009066,0.0342182,0.090449
62.8522,7.16e-05,6.08e-05,0.000138,4.44e-05,5.1e-05,0.0033278,0.0062318,6.4e-05,0.0026844,0.0053826,0.0007068,0.0339418,0.0794426
63.5844,0.0001192,0.0001994,0.0001384,5.32e-05,6.14e-05,0.0106488,0.014518,7.26e-05,0.0040592,0.007285,0.0008506,0.0398494,0.0681212
64.3443,8.52e-05,8.44e-05,0.000118,5.52e-05,4.9e-05,0.0033222,0.0060438,8.32e-05,0.002743,0.0050092,0.0008158,0.0357832,0.0973998
64.9739,8.16e-05,6.6e-05,0.0001172,5.4e-05,4.48e-05,0.0031954,0.0065094,6.86e-05,0.0026896,0.0049506,0.0007722,0.033541,0.0734478
65.8586,7.68e-05,8.46e-05,0.000134,5.58e-05,5.62e-05,0.0072,0.0080994,7.92e-05,0.0029572,0.0052418,0.0006998,0.0565102,0.0953588
66.6895,6.76e-05,6.66e-05,0.0001186,5.64e-05,5.24e-05,0.0064034,0.0076638,5.76e-05,0.00272,0.0049296,0.0007584,0.0351494,0.107741
67.6055,8.06e-05,7.66e-05,0.0001296,4.44e-05,5.22e-05,0.0063468,0.0111762,7.38e-05,0.0068438,0.0090132,0.0014842,0.0537404,0.0936738
68.4654,9.62e-05,9.12e-05,0.000114,4.46e-05,4.48e-05,0.0055976,0.0099578,8.52e-05,0.0036348,0.0074222,0.0011626,0.0476218,0.0956888
69.3184,7.9e-05,7.06e-05,0.0001032,5.02e-05,5.76e-05,0.0054988,0.012676,9.68e-05,0.003966,0.0080558,0.0010218,0.0439206,0.0945786
70.1799,7.12e-05,5.76e-05,0.000101,3.82e-05,4.42e-05,0.0058094,0.0146998,6.6e-05,0.0058344,0.0082628,0.0010806,0.0449398,0.0908762
71.0888,8.66e-05,8.56e-05,0.0006612,3.92e-05,7.26e-05,0.0057682,0.010507,8.56e-05,0.0040492,0.0076232,0.0010702,0.0499686,0.10131
71.9662,8.22e-05,7.86e-05,0.0001172,4.36e-05,5.3e-05,0.0063964,0.0111624,6.2e-05,0.0039734,0.007775,0.000986,0.0429828,0.101342
72.8162,9.78e-05,8.04e-05,0.0001204,4.72e-05,5.28e-05,0.006553,0.0101346,8.84e-05,0.0037442,0.0071118,0.0009938,0.0458408,0.0946894
73.9171,8.78e-05,6.84e-05,0.00013,4.54e-05,5.4e-05,0.006493,0.0126326,8.06e-05,0.0043522,0.0124254,0.0008404,0.054964,0.12749
74.6181,8.28e-05,7.92e-05,0.0001416,4.8e-05,6.58e-05,0.0034546,0.0078896,7.4e-05,0.0043412,0.0052938,0.0007282,0.0460532,0.0715298
