Read Num,Threads,Runs,Time Elapsed (sec)
1,1,500000,730.024
2,1,500000,711.804
3,1,500000,718.353


Read Num,Threads,Runs,Time Elapsed (sec)
1,5,500000,139.404
2,5,500000,136.899
3,5,500000,138.59


Read Num,Threads,Runs,Time Elapsed (sec)
1,10,500000,80.8524
2,10,500000,84.2823
3,10,500000,89.1785


Insert Num,Threads,Runs,Time Elapased (sec)
1,1,500000,830.843
2,1,500000,921.792
3,1,500000,825.967


Insert Num,Threads,Runs,Time Elapased (sec)
1,5,500000,174.372
2,5,500000,187.357
3,5,500000,228.903


Insert Num,Threads,Runs,Time Elapased (sec)
1,10,500000,100.748
2,10,500000,95.3713
3,10,500000,95.9915


Update Num,Threads,Runs,Time Elapsed (sec)
1,1,500000,958.833
2,1,500000,1077.67
3,1,500000,829.44


Update Num,Threads,Runs,Time Elapsed (sec)
1,5,500000,181.496
2,5,500000,182.093
3,5,500000,182.058


Update Num,Threads,Runs,Time Elapsed (sec)
1,10,500000,97.5671
2,10,500000,101.743
3,10,500000,110.647


Delete Num,Threads,Runs,Time Elapsed (sec)
1,1,500000,620.472
2,1,500000,639.88
3,1,500000,699.744


Delete Num,Threads,Runs,Time Elapsed (sec)
1,5,500000,168.423
2,5,500000,197.031
3,5,500000,119.736


Delete Num,Threads,Runs,Time Elapsed (sec)
1,10,500000,61.7203
2,10,500000,63.2026
3,10,500000,62.8348


10 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,500000,98.8767
2,10,500000,99.3306
3,10,500000,97.8688


50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,500000,36.1621
2,50,500000,36.3303
3,50,500000,36.1825


100 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,500000,31.2732
2,100,500000,31.7005
3,100,500000,31.4822


10 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,500000,135.926
2,10,500000,137.382
3,10,500000,119.931


50 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,500000,40.2953
2,50,500000,39.9351
3,50,500000,37.6444


100 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,500000,32.6825
2,100,500000,32.8222
3,100,500000,33.5595


