Timestamp,Reading 1,Reading 5, Reading 10, Inserting 1,Inserting 5,Inserting 10, Updating 1,Updating 5,Updating 10, Deleting 1,Deleting 5,Deleting  10, 10 Simul. Readers,50 Simul. Reader,100 Simul. Readers,10 Simul. Tasks,50 Simul. Tasks,100 Simul. Tasks,10 Simul. Transactions,50 Simul. Transactions,100 Simul. Transactions
0.322307,1.98877,0.515098,0.290136,2.52943,0.555125,0.330875,2.41696,0.574403,0.327457,1.08872,0.236961,0.150625,0.332186,0.286835,0.284452,0.582451,0.345499,0.299293
0.649085,2.33293,0.5287,0.303919,2.41446,0.544911,0.314333,2.17906,0.551294,0.307897,1.10422,0.217851,0.138422,0.311142,0.281903,0.323987,0.559778,0.345658,0.642878
1.01073,1.97006,0.498711,0.284399,2.1043,0.54056,0.329847,2.44134,0.600267,0.512117,2.06697,0.456035,0.273353,0.750929,0.448344,0.446077,1.0798,0.356403,0.336031
1.34467,2.13955,0.439994,0.310734,2.13603,0.566696,0.343112,2.57487,0.765372,0.399032,1.12841,0.239959,0.144615,0.369138,0.324492,0.417422,0.619968,0.390531,0.52286
1.67562,2.40325,0.545008,0.391078,2.24246,0.554476,0.342347,2.34454,0.552799,0.31609,1.21079,0.240928,0.150453,0.312954,0.289341,0.283504,0.576857,0.341446,0.555301
2.01067,2.11098,0.493444,0.292103,2.41587,0.623817,0.361692,2.35231,0.5569,0.399421,1.61277,0.413925,0.249802,0.303245,0.294837,0.275281,0.527475,0.318085,0.297566
2.34786,2.51002,0.525347,0.291911,2.21976,0.555627,0.309528,2.27534,0.555027,0.338714,1.35702,0.255277,0.154211,0.330999,0.372789,0.358857,0.61632,0.496044,0.505466
2.67124,2.18032,0.505643,0.301076,2.4055,0.565825,0.337813,2.51442,0.533735,0.300631,1.06718,0.216353,0.135979,0.313462,0.29191,0.284726,0.553433,0.329698,0.361645
3.0329,1.91468,0.486191,0.286868,2.26512,0.540502,0.3085,2.26587,0.525812,0.387135,1.6159,0.441985,0.257305,0.86895,0.704716,0.702356,0.731376,0.508963,0.684322
3.38121,3.462,0.863925,0.30334,2.19948,0.628886,0.362124,2.19882,0.586131,0.315534,1.13734,0.245297,0.149068,0.333978,0.318012,0.293219,0.596244,0.370082,0.331703
3.71748,2.43518,0.515696,0.327064,2.673,0.603806,0.403129,2.43829,0.595414,0.315825,1.06583,0.242993,0.156519,0.34141,0.274792,0.291819,0.575214,0.360888,0.356239
4.05248,2.09522,0.49993,0.290609,2.38978,0.566743,0.324504,2.32014,0.543157,0.372103,1.50811,0.334792,0.203934,0.335402,0.301124,0.306489,0.57773,0.421924,0.505565
4.38368,2.67237,0.502825,0.288921,2.38594,0.544607,0.316283,2.40302,0.555718,0.319276,1.10999,0.259302,0.168831,0.325667,0.274421,0.285772,0.584003,0.336652,0.335335
