Read Num,Threads,Runs,Time Elapsed (sec)
1,1,500000,228.918
2,1,500000,172.454
3,1,500000,222.709


Read Num,Threads,Runs,Time Elapsed (sec)
1,5,500000,52.4018
2,5,500000,51.957
3,5,500000,51.5184


Read Num,Threads,Runs,Time Elapsed (sec)
1,10,500000,28.8461
2,10,500000,28.892
3,10,500000,29.529


Insert Num,Threads,Runs,Time Elapased (sec)
1,1,500000,245.149
2,1,500000,243.397
3,1,500000,250.505


Insert Num,Threads,Runs,Time Elapased (sec)
1,5,500000,66.413
2,5,500000,59.516
3,5,500000,63.3719


Insert Num,Threads,Runs,Time Elapased (sec)
1,10,500000,42.7803
2,10,500000,43.2936
3,10,500000,46.249


Update Num,Threads,Runs,Time Elapsed (sec)
1,1,500000,219.081
2,1,500000,264.432
3,1,500000,257.896


Update Num,Threads,Runs,Time Elapsed (sec)
1,5,500000,57.7694
2,5,500000,64.0606
3,5,500000,56.3105


Update Num,Threads,Runs,Time Elapsed (sec)
1,10,500000,37.556
2,10,500000,42.5039
3,10,500000,51.538


Delete Num,Threads,Runs,Time Elapsed (sec)
1,1,500000,102.374
2,1,500000,103.372
3,1,500000,103.553


Delete Num,Threads,Runs,Time Elapsed (sec)
1,5,500000,21.952
2,5,500000,23.2176
3,5,500000,22.5867


Delete Num,Threads,Runs,Time Elapsed (sec)
1,10,500000,14.3917
2,10,500000,15.1607
3,10,500000,14.7792


10 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,500000,33.959
2,10,500000,33.3605
3,10,500000,37.2038


50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,500000,35.2975
2,50,500000,35.2314
3,50,500000,37.9044


100 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,500000,33.1984
2,100,500000,42.2033
3,100,500000,37.5672


10 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,500000,61.1678
2,10,500000,55.181
3,10,500000,57.3382


50 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,500000,38.0667
2,50,500000,37.7042
3,50,500000,37.6795


100 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,500000,38.328
2,100,500000,38.3635
3,100,500000,36.4045


